"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 10 15:12:05 GMT 2024","Thu Oct 10 15:12:06 GMT 2024","567","Gradle suite","Gradle test","allcom_selenium.login.LoginNegativeTests","allcom_selenium.login.LoginNegativeTests","loginWithInvalidData","loginWithInvalidData",""
"passed","Thu Oct 10 15:25:36 GMT 2024","Thu Oct 10 15:25:36 GMT 2024","288","Gradle suite","Gradle test","allcom_selenium.registration.RegisterPageNegativeTests","allcom_selenium.registration.RegisterPageNegativeTests","validatePasswordWithIncorrectData","validatePasswordWithIncorrectData",""
"passed","Thu Oct 10 15:16:04 GMT 2024","Thu Oct 10 15:16:04 GMT 2024","403","Gradle suite","Gradle test","allcom_selenium.passwordReset.RestorePasswordTests","allcom_selenium.passwordReset.RestorePasswordTests","restoreWithInvalidEmail","restoreWithInvalidEmail",""
"passed","Thu Oct 10 15:24:53 GMT 2024","Thu Oct 10 15:24:54 GMT 2024","240","Gradle suite","Gradle test","allcom_selenium.registration.RegisterPageNegativeTests","allcom_selenium.registration.RegisterPageNegativeTests","validatePasswordConfirmWithIncorrectData","validatePasswordConfirmWithIncorrectData",""
"passed","Thu Oct 10 15:22:53 GMT 2024","Thu Oct 10 15:22:53 GMT 2024","318","Gradle suite","Gradle test","allcom_selenium.registration.RegisterPageNegativeTests","allcom_selenium.registration.RegisterPageNegativeTests","validateHouseNumberWithIncorrectData","validateHouseNumberWithIncorrectData",""
"passed","Thu Oct 10 15:12:56 GMT 2024","Thu Oct 10 15:12:57 GMT 2024","736","Gradle suite","Gradle test","allcom_selenium.login.LoginPositiveTests","allcom_selenium.login.LoginPositiveTests","loginUserWithValidRandomDataPositive","loginUserWithValidRandomDataPositive",""
"passed","Thu Oct 10 15:27:52 GMT 2024","Thu Oct 10 15:27:52 GMT 2024","247","Gradle suite","Gradle test","allcom_selenium.registration.RegisterPageNegativeTests","allcom_selenium.registration.RegisterPageNegativeTests","validatePhoneWithIncorrectData","validatePhoneWithIncorrectData",""
"broken","Thu Oct 10 15:15:08 GMT 2024","Thu Oct 10 15:15:08 GMT 2024","77","Gradle suite","Gradle test","allcom_selenium.passwordReset.CreateNewPasswordPageTests","allcom_selenium.passwordReset.CreateNewPasswordPageTests","validatePasswordWithIncorrectData","validatePasswordWithIncorrectData",""
"skipped","Thu Oct 10 15:34:13 GMT 2024","Thu Oct 10 15:34:13 GMT 2024","0","Gradle suite","Gradle test","allcom_selenium.header.HeaderAccountTests","allcom_selenium.header.HeaderAccountTests","cartTopIsPresent","cartTopIsPresent",""
"passed","Thu Oct 10 15:41:25 GMT 2024","Thu Oct 10 15:41:25 GMT 2024","326","Gradle suite","Gradle test","allcom_selenium.header.SearchBoxTests","allcom_selenium.header.SearchBoxTests","validateSearchWithIncorrectData","Validate search with incorrect data",""
"passed","Thu Oct 10 15:03:33 GMT 2024","Thu Oct 10 15:04:34 GMT 2024","61028","Gradle suite","Gradle test","allcom_restassured.Register.RegisterNewUserRA","allcom_restassured.Register.RegisterNewUserRA","registerNewRandomMultipleUserTest","registerNewRandomMultipleUserTest",""
"passed","Thu Oct 10 15:20:15 GMT 2024","Thu Oct 10 15:20:15 GMT 2024","202","Gradle suite","Gradle test","allcom_selenium.registration.RegisterPageNegativeTests","allcom_selenium.registration.RegisterPageNegativeTests","validateEmailWithIncorrectData","validateEmailWithIncorrectData",""
"passed","Thu Oct 10 15:35:12 GMT 2024","Thu Oct 10 15:35:12 GMT 2024","55","Gradle suite","Gradle test","allcom_selenium.header.SearchBoxTests","allcom_selenium.header.SearchBoxTests","searchBoxIsClickableOnLowResolution","Check if search box is clickable on low resolution",""
"passed","Thu Oct 10 15:06:17 GMT 2024","Thu Oct 10 15:06:18 GMT 2024","360","Gradle suite","Gradle test","allcom_selenium.footerTests.FooterPageTests","allcom_selenium.footerTests.FooterPageTests","clickInstagramLocator","clickInstagramLocator",""
"passed","Thu Oct 10 15:25:00 GMT 2024","Thu Oct 10 15:25:01 GMT 2024","243","Gradle suite","Gradle test","allcom_selenium.registration.RegisterPageNegativeTests","allcom_selenium.registration.RegisterPageNegativeTests","validatePasswordConfirmWithIncorrectData","validatePasswordConfirmWithIncorrectData",""
"passed","Thu Oct 10 15:34:21 GMT 2024","Thu Oct 10 15:34:21 GMT 2024","40","Gradle suite","Gradle test","allcom_selenium.header.SearchBoxTests","allcom_selenium.header.SearchBoxTests","searchButtonBottomIsPresentOnLowResolution","Check if search button bottom is present on low resolution",""
"passed","Thu Oct 10 15:20:50 GMT 2024","Thu Oct 10 15:20:50 GMT 2024","198","Gradle suite","Gradle test","allcom_selenium.registration.RegisterPageNegativeTests","allcom_selenium.registration.RegisterPageNegativeTests","validateEmailWithIncorrectData","validateEmailWithIncorrectData",""
"passed","Thu Oct 10 15:10:56 GMT 2024","Thu Oct 10 15:10:57 GMT 2024","574","Gradle suite","Gradle test","allcom_selenium.login.LoginNegativeTests","allcom_selenium.login.LoginNegativeTests","loginWithInvalidData","loginWithInvalidData",""
"passed","Thu Oct 10 15:31:13 GMT 2024","Thu Oct 10 15:31:13 GMT 2024","320","Gradle suite","Gradle test","allcom_selenium.registration.RegisterPageNegativeTests","allcom_selenium.registration.RegisterPageNegativeTests","validateTaxWithIncorrectData","validateTaxWithIncorrectData",""
"passed","Thu Oct 10 15:32:39 GMT 2024","Thu Oct 10 15:32:42 GMT 2024","3351","Gradle suite","Gradle test","allcom_selenium.registration.RegisterPagePositiveTests","allcom_selenium.registration.RegisterPagePositiveTests","registerNewFirmaWithValidDataPositive","registerNewFirmaWithValidDataPositive",""
"passed","Thu Oct 10 15:19:21 GMT 2024","Thu Oct 10 15:19:21 GMT 2024","321","Gradle suite","Gradle test","allcom_selenium.registration.RegisterPageNegativeTests","allcom_selenium.registration.RegisterPageNegativeTests","validateCompanyPositionWithIncorrectData","validateCompanyPositionWithIncorrectData",""
"passed","Thu Oct 10 15:04:43 GMT 2024","Thu Oct 10 15:04:43 GMT 2024","0","Gradle suite","Gradle test","allcom_selenium.categoriesTests.CategoriesTests","allcom_selenium.categoriesTests.CategoriesTests","categoriesArePresent","categoriesArePresent",""
"passed","Thu Oct 10 15:26:05 GMT 2024","Thu Oct 10 15:26:06 GMT 2024","244","Gradle suite","Gradle test","allcom_selenium.registration.RegisterPageNegativeTests","allcom_selenium.registration.RegisterPageNegativeTests","validatePasswordWithIncorrectData","validatePasswordWithIncorrectData",""
"passed","Thu Oct 10 15:41:12 GMT 2024","Thu Oct 10 15:41:12 GMT 2024","353","Gradle suite","Gradle test","allcom_selenium.header.SearchBoxTests","allcom_selenium.header.SearchBoxTests","validateSearchWithIncorrectData","Validate search with incorrect data",""
"passed","Thu Oct 10 15:29:11 GMT 2024","Thu Oct 10 15:29:11 GMT 2024","362","Gradle suite","Gradle test","allcom_selenium.registration.RegisterPageNegativeTests","allcom_selenium.registration.RegisterPageNegativeTests","validatePostalWithIncorrectData","validatePostalWithIncorrectData",""
"passed","Thu Oct 10 15:10:48 GMT 2024","Thu Oct 10 15:10:49 GMT 2024","602","Gradle suite","Gradle test","allcom_selenium.login.LoginNegativeTests","allcom_selenium.login.LoginNegativeTests","loginWithInvalidData","loginWithInvalidData",""
"passed","Thu Oct 10 15:24:39 GMT 2024","Thu Oct 10 15:24:39 GMT 2024","492","Gradle suite","Gradle test","allcom_selenium.registration.RegisterPageNegativeTests","allcom_selenium.registration.RegisterPageNegativeTests","validatePasswordConfirmWithIncorrectData","validatePasswordConfirmWithIncorrectData",""
"passed","Thu Oct 10 15:34:56 GMT 2024","Thu Oct 10 15:34:56 GMT 2024","303","Gradle suite","Gradle test","allcom_selenium.header.SearchBoxTests","allcom_selenium.header.SearchBoxTests","searchBoxAcceptsLongInput","Check if search box accepts long input",""
"passed","Thu Oct 10 15:28:10 GMT 2024","Thu Oct 10 15:28:10 GMT 2024","293","Gradle suite","Gradle test","allcom_selenium.registration.RegisterPageNegativeTests","allcom_selenium.registration.RegisterPageNegativeTests","validatePostalWithIncorrectData","validatePostalWithIncorrectData",""
"passed","Thu Oct 10 15:25:29 GMT 2024","Thu Oct 10 15:25:29 GMT 2024","227","Gradle suite","Gradle test","allcom_selenium.registration.RegisterPageNegativeTests","allcom_selenium.registration.RegisterPageNegativeTests","validatePasswordConfirmWithIncorrectData","validatePasswordConfirmWithIncorrectData",""
"passed","Thu Oct 10 15:16:41 GMT 2024","Thu Oct 10 15:16:41 GMT 2024","350","Gradle suite","Gradle test","allcom_selenium.passwordReset.RestorePasswordTests","allcom_selenium.passwordReset.RestorePasswordTests","restoreWithInvalidEmail","restoreWithInvalidEmail",""
"passed","Thu Oct 10 15:20:36 GMT 2024","Thu Oct 10 15:20:36 GMT 2024","236","Gradle suite","Gradle test","allcom_selenium.registration.RegisterPageNegativeTests","allcom_selenium.registration.RegisterPageNegativeTests","validateEmailWithIncorrectData","validateEmailWithIncorrectData",""
"passed","Thu Oct 10 15:26:52 GMT 2024","Thu Oct 10 15:26:52 GMT 2024","213","Gradle suite","Gradle test","allcom_selenium.registration.RegisterPageNegativeTests","allcom_selenium.registration.RegisterPageNegativeTests","validatePhoneWithIncorrectData","validatePhoneWithIncorrectData",""
"passed","Thu Oct 10 15:24:18 GMT 2024","Thu Oct 10 15:24:18 GMT 2024","179","Gradle suite","Gradle test","allcom_selenium.registration.RegisterPageNegativeTests","allcom_selenium.registration.RegisterPageNegativeTests","validateLastNameWithIncorrectData","validateLastNameWithIncorrectData",""
"passed","Thu Oct 10 15:13:56 GMT 2024","Thu Oct 10 15:13:56 GMT 2024","438","Gradle suite","Gradle test","allcom_selenium.passwordReset.CreateNewPasswordPageTests","allcom_selenium.passwordReset.CreateNewPasswordPageTests","validateComparePasswordsEqualityPositive","validateComparePasswordsEqualityPositive",""
